2024-10-12 11:26:40,801 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:26:40,900 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:27:12,566 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:27:12,665 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:27:14,282 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:14,416 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:14,641 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:15,471 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:16,141 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:16,306 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:16,990 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:18,536 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:19,196 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:19,755 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:20,076 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:20,190 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:20,606 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:20,833 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:21,070 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:21,813 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:22,040 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:22,280 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:22,395 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:22,967 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:23,097 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:23,534 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:23,657 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:23,781 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:24,102 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
